ks:'ekebru # kbr|A;ኧከብሩ
am:'kebral_ehu # kbr|A;እከብራለ፟ሁ
te:'keb_r # kbr|A;እከብ፟ር
## ;imf,1s,0o,aff,rel
ti:zKeb_r # kbr|A;ዝኸብ፟ር
ks:'ekebr # kbr|A;ኧከብር
am:yem_kebr # kbr|A;የም፟ከብር
te:le'keb_r # kbr|A;ለእከብ፟ር
## ;imf,3sm,0o,neg,main
ti:'ay_Keb_rn # kbr|A;ኣይ፟ኸብ፟ርን
ks:tikebr # kbr|A;ቲከብር
am:'aykebrm # kbr|A;አይከብርም
te:'ilkeb_r # kbr|A;ኢልከብ፟ር
## ;imf,3sm,0o,neg,rel
ti:zey_Keb_r # kbr|A;ዘይ፟ኸብ፟ር
ks:'aykebr # kbr|A;አይከብር
am:yem_aykebr # kbr|A;የማ፟ይከብር
te:le'ilkeb_r # kbr|A;ለኢልከብ፟ር
## ;imf,3sm,0o,aff,main
ti:yKeb_r # kbr|A;ይኸብ፟ር
ks:ykebru # kbr|A;ይከብሩ
am:ykebral # kbr|A;ይከብራል
te:lkeb_r # kbr|A;ልከብ፟ር
## ;imf,3sm,0o,aff,rel
ti:ziKeb_r # kbr|A;ዚኸብ፟ር
ks:ykebr # kbr|A;ይከብር
am:yem_ikebr # kbr|A;የሚ፟ከብር
te:lelkeb_r # kbr|A;ለልከብ፟ር
## ;imf,2pf,0o,neg,main
ti:'aytKebran # kbr|A;ኣይትኸብራን
ks:tt_kebrma # kbr|A;ትት፟ከብርማ
am:'at_kebrum # kbr|A;አት፟ከብሩም
te:'itkebre # kbr|A;ኢትከብረ
## ;imf,2pf,0o,neg,rel
ti:zeytKebra # kbr|A;ዘይትኸብራ
ks:'at_kebrma # kbr|A;አት፟ከብርማ
am:yem_at_kebru # kbr|A;የማ፟ት፟ከብሩ
te:le'itkebre # kbr|A;ለኢትከብረ
## ;imf,2pf,0o,aff,main
ti:tKebra # kbr|A;ትኸብራ
ks:tkebrman # kbr|A;ትከብርማን
am:tkebral_ac_hu # kbr|A;ትከብራላ፟ች፟ሁ
te:tkebre # kbr|A;ትከብረ
## ;imf,2pf,0o,aff,rel
ti:zt_Kebra # kbr|A;ዝት፟ኸብራ
ks:tkebrma # kbr|A;ትከብርማ
am:yem_t_kebru # kbr|A;የም፟ት፟ከብሩ
te:letkebre # kbr|A;ለትከብረ
## ;prf,1s,0o,neg,main
ti:'ayHeferkun # Hfr|A;ኣይሐፈርኩን
te:'iHeferko # Hfr|A;ኢሐፈርኮ
ks:'aleferkW # hfr|A;አለፈርኵ
am:'alaf_erkum # 'fr|A;አላፈ፟ርኩም
## ;prf,1s,0o,neg,rel
ti:zeyHeferku # Hfr|A;ዘይሐፈርኩ
te:le'iHeferko # Hfr|A;ለኢሐፈርኮ
ks:yaleferkW # hfr|A;ያለፈርኵ
am:yalaf_erku # 'fr|A;ያላፈ፟ርኩ
## ;prf,1s,0o,aff,main
ti:Haferku # Hfr|A;ሓፈርኩ
te:Heferko # Hfr|A;ሐፈርኮ
ks:'af_erki # hfr|A;አፈ፟ርኪ
am:'af_erku # 'fr|A;አፈ፟ርኩ
## ;prf,1s,0o,aff,rel
ti:zHeferku # Hfr|A;ዝሐፈርኩ
te:leHeferko # Hfr|A;ለሐፈርኮ
ks:yaf_erkW # hfr|A;ያፈ፟ርኵ
am:yaf_erku # 'fr|A;ያፈ፟ርኩ
## ;prf,3sm,0o,neg,main
ti:'ayHeferen # Hfr|A;ኣይሐፈረን
te:'iHefre # Hfr|A;ኢሐፍረ
ks:'alefere # hfr|A;አለፈረ
am:'alaf_erem # 'fr|A;አላፈ፟ረም
## ;prf,3sm,0o,neg,rel
ti:zeyHefere # Hfr|A;ዘይሐፈረ
te:le'iHefre # Hfr|A;ለኢሐፍረ
ks:yalefere # hfr|A;ያለፈረ
am:yalaf_ere # 'fr|A;ያላፈ፟ረ
## ;prf,3sm,0o,aff,main
ti:Hafere # Hfr|A;ሓፈረ
te:Hefre # Hfr|A;ሐፍረ
ks:'af_ero # hfr|A;አፈ፟ሮ
am:'af_ere # 'fr|A;አፈ፟ረ
## ;prf,3sm,0o,aff,rel
ti:zHefere # Hfr|A;ዝሐፈረ
te:leHefre # Hfr|A;ለሐፍረ
ks:yaf_ere # hfr|A;ያፈ፟ረ
am:yaf_ere # 'fr|A;ያፈ፟ረ
## ;prf,2pf,0o,neg,main
ti:'ayHeferknn # Hfr|A;ኣይሐፈርክንን
te:'iHeferkn # Hfr|A;ኢሐፈርክን
ks:'aleferkma # hfr|A;አለፈርክማ
