ወሐደ;wHd:[cls=A,as=None,vc=[-cs,-ps]];;be_v little;;ወሓደ;wHd:[as=smp,vc=smp]
ወዐለ;w`l:[cls=A,as=None,vc=[-cs,-ps]];;spend_v the day;;ወዓለ;w`l:[as=smp,vc=smp]
ወደ;wdy:[cls=A,as=None,vc=[-cs,-ps]];;do_v;;ወደየ;wdy:[as=smp,vc=smp]
ወደ;wdy:[cls=A,as=None,vc=[-cs,-ps]];;do_v;;ገበረ;gbr:[as=smp,vc=smp]
ወደ;wdy:[cls=A,as=None,vc=[-cs,-ps]];;make_v;;ወደየ;wdy:[as=smp,vc=smp]
ወደ;wdy:[cls=A,as=None,vc=[-cs,-ps]];;make_v;;ገበረ;gbr:[as=smp,vc=smp]
ዐርገ;`rg:[cls=A,as=None,vc=[-cs,-ps]];;ascend_v;;ዓረገ;`rg:[as=smp,vc=smp]
ዐደ፟መ;`dm:[cls=B,as=None,vc=[-cs,-ps]];;invite_v;;ዓደመ;`d_m:[as=smp,vc=smp]
ዔረ;`yr:[cls=A,as=None,vc=[-cs,-ps]];;become_v blind;;ዓወረ;`w_r:[as=smp,vc=smp]
ዘምተ;zmt:[cls=A,as=None,vc=[-cs,-ps]];;loot_v;;ዘመተ;zmt:[as=smp,vc=smp]
ዘርገ;zrg:[cls=A,as=None,vc=[-cs,-ps]];;confuse_v;;ዘረገ;zrg:[as=smp,vc=smp]
ዘርገ;zrg:[cls=A,as=None,vc=[-cs,-ps]];;spoil_v;;ዘረገ;zrg:[as=smp,vc=smp]
ዘብጠ;zbT:[cls=A,as=None,vc=[-cs,-ps]];;hit_v;;ዘበጠ;zbT:[as=smp,vc=smp]
ደረ፟በ;drb:[cls=B,as=None,vc=[-cs,-ps]];;tie_v together;;ደረበ;dr_b:[as=smp,vc=smp]
ደረ፟ከ;drk:[cls=B,as=None,vc=[-cs,-ps]];;jolt_v;;ደረኸ;dr_k:[as=smp,vc=smp]
ደርበ;drb:[cls=A,as=None,vc=[-cs,-ps]];;throw_v;;ደርበየ;drby:[as=smp,vc=smp]
ደርዘ;drz:[cls=A,as=None,vc=[-cs,-ps]];;massage_v;;ደረዘ;drz:[as=smp,vc=smp]
ደንረረ;dnrr:[cls=E,as=None,vc=[-cs,-ps]];;be_v late;;ደንጐየ;dngWy:[as=smp,vc=smp]
ደገ፟መ;dgm:[cls=B,as=None,vc=[-cs,-ps]];;narrate_v;;ተረተ;tr_t:[as=smp,vc=smp]
ደገ፟መ;dgm:[cls=B,as=None,vc=[-cs,-ps]];;narrate_v;;ነገረ;ngr:[as=smp,vc=smp]
ደገ፟መ;dgm:[cls=B,as=None,vc=[-cs,-ps]];;narrate_v;;ኣዘንተወ;zntw:[as=smp,vc=tr]
ደገ፟መ;dgm:[cls=B,as=None,vc=[-cs,-ps]];;tell_v;;ተረተ;tr_t:[as=smp,vc=smp]
ደገ፟መ;dgm:[cls=B,as=None,vc=[-cs,-ps]];;tell_v;;ነገረ;ngr:[as=smp,vc=smp]
ደገ፟መ;dgm:[cls=B,as=None,vc=[-cs,-ps]];;tell_v;;ኣዘንተወ;zntw:[as=smp,vc=tr]
ዶረ;dwr:[cls=A,as=None,vc=[-cs,-ps]];;go_v around;;ዘወረ;zw_r:[as=smp,vc=smp]
ገረ፟መ;grm:[cls=B,as=None,vc=[-cs,-ps]];;be_v beautiful;;ገረመ;gr_m:[as=smp,vc=smp]
ገረ፟መ;grm:[cls=B,as=None,vc=[-cs,-ps]];;be_v beautiful;;ጸበቐ;Sb_q:[as=smp,vc=smp]
ጌሰ;gys:[cls=A,as=None,vc=[-cs,-ps]];;go_v;;ከደ;kyd:[as=smp,vc=smp]
ጠለ፟;Tll:[cls=A,as=None,vc=[-cs,-ps]];;be_v wet;;ጠለለ;Tll:[as=smp,vc=smp]
ጠለ፟;Tll:[cls=A,as=None,vc=[-cs,-ps]];;wet_v[ps];;ጠለለ;Tll:[as=smp,vc=smp]
ጨሐመ;CHm:[cls=A,as=None,vc=[-cs,-ps]];;grow_v a beard;;ጨሓመ;CHm:[as=smp,vc=smp]
ጾመ;Swm:[cls=A,as=None,vc=[-cs,-ps]];;fast_v;;ጾመ;Swm:[as=smp,vc=smp]
ፈሰ;fsy:[cls=A,as=None,vc=[-cs,-ps]];;cut_v meat for drying;;ዘልዘለ;zlzl:[as=smp,vc=smp]
ፈንፈነ;fnfn:[cls=E,as=None,vc=[-cs,-ps]];;abhor_v;;ፈንፈነ;fnfn:[as=smp,vc=smp]
ፈግረ;fgr:[cls=A,as=None,vc=[-cs,-ps]];;go_v out;;ወጽአ;wS':[as=smp,vc=smp]
ፈጥነ;fTn:[cls=A,as=None,vc=[-cs,-ps]];;be_v conscious;;ፈለጠ;flT:[as=smp,vc=smp]
