ተደነቐ;dn_q:[as=smp,vc=ps];;wonder_v
ተገደሰ;gd_s:[as=smp,vc=ps];;care_v
ተጋደመ;gadm:[as=smp,vc=ps];;lie_v
ተጋጠመ;gTm:[as=rc,vc=ps];;fit_v
ተጸግዐ;Sg_`:[as=smp,vc=ps];;rely_v
ተፈላለየ;fly:[as=it,vc=ps];;vary_v
ተኰሰ;tkW_s:[as=smp,vc=smp];;shoot_v
ተሃንጠየ;hnTy:[as=smp,vc=ps];;get_v impatient
ተሃወኸ;hw_k:[as=smp,vc=ps];;rush_v;hurry_v up
ተለቀሐ;lq_H:[as=smp,vc=ps];;borrow_v
ተለዋወጠ;lw_T:[as=it,vc=ps];;exchange_v
ተለዓለ;l`l:[as=smp,vc=ps];;come_v from
ተላዘበ;lzb:[as=rc,vc=ps];;discuss_v
ተላገጸ;lagS:[as=smp,vc=ps];;make_v fun of;laugh_v at
ተሓበረ;Hb_r:[as=smp,vc=ps];;get_v one’s bearings
ተሓጎሰ;HgW_s:[as=smp,vc=ps];;be_v delighted;delight_v[ps]
ተሓጸበ;HSb:[as=smp,vc=ps];;wash_v one’s self;bathe_v
ተሓጸየ;HSy:[as=smp,vc=ps];;get_v engaged to
ተመልሰ;mls:[as=smp,vc=ps];;return_v;go_v back
ተመርኰሰ;mrkWs:[as=smp,vc=ps];;depend_v on
ተመርዓወ;mr`w:[as=smp,vc=ps];;get_v married
ተመሻጠረ;mxTr:[as=rc,vc=ps];;intrigue_v
ተመባጽዐ;mbaS`:[as=smp,vc=ps];;promise_v
ተመያየጠ;myT:[as=it,vc=ps];;consult_v;talk_v to each other
ተመገበ;mg_b:[as=smp,vc=ps];;feed_v
ተማህረ;mhr:[as=smp,vc=ps];;learn_v
ተማልአ;ml':[as=rc,vc=ps];;take_v
ተማሕጸነ;mHSn:[as=smp,vc=ps];;beg_v;plead_v
ተምበርከኸ;m|brkk:[as=smp,vc=ps];;kneel_v
ተረከሰ;rk_s:[as=smp,vc=ps];;risk_v
ተረድአ;rd_':[as=smp,vc=ps];;understand_v;comprehend_v
ተረፈ;trf:[as=smp,vc=smp];;be_v left;leave_v[ps];remain_v;stay_v
ተራእየ;r'y:[as=smp,vc=ps];;appear_v;manifest_v
ተራኸበ;rkb:[as=rc,vc=ps];;deal_v;encounter_v;correspond_v;communicate_v;meet_v;contact_v
ተርጐመ;trgWm:[as=smp,vc=smp];;translate_v
ተሰማምዐ;sm`:[as=it,vc=ps];;agree_v
ተሰርዐ;sr`:[as=smp,vc=ps];;parade_v;line_v up
ተሰከመ;sk_m:[as=smp,vc=ps];;carry_v
ተሳቐየ;saqy:[as=smp,vc=ps];;be_v in pain;suffer_v
ተሳተፈ;stf:[as=rc,vc=ps];;participate_v
ተሳዓረ;s`r:[as=rc,vc=ps];;lose_v
ተሸከመ;xk_m:[as=smp,vc=ps];;transport_v;carry_v
ተሻቐለ;xql:[as=rc,vc=ps];;worry_v about;have_v anxiety
ተቐልቀለ;qlql:[as=smp,vc=ps];;appear_v suddenly
ተቐመጠ;qm_T:[as=smp,vc=ps];;stay_v;remain_v
